SV_TAXONOMY,TAXONOMY_NAME,RG_REFERENCE,RG_NAME,SV_REFERENCE,SV_NAME,SV_DESCRIPTION,SL_REFERENCE,LC_REFERENCE,PHONE_NUMBER,WEBSITE,EMAIL_ADDRESS,WHEELCHAIR_ACCESSIBLE,LANGUAGE,HOURS,STREET_NUMBER,STREET_NAME,STREET_TYPE,STREET_DIRECTION,CITY,PROVINCE,POSTAL_CODE,LATITUDE,LONGITUDE,811_LINK
LL-3000,Hospitals,17646543,Interior Health Authority,17992328,Vernon Jubilee Hospital,Provides community hospital services.,17691958,17646580,2505452211,www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Vernon Jubilee Hospital&svc=&ploc=,,N,,Visiting Hours: 14:00 - 20:00 daily; Emergency Services: 24/7,2101 32nd Street,,,,Vernon,BC,V1T 5L2,50.256925,-119.273751,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992328&SiteResourceAgencyNum=17646580
LL-3000,Hospitals,17652139,Northern Health Authority,17992299,Fort St. John Hospital,Provides community hospital services.,17691989,17652606,,www.northernhealth.ca/OurServices/Facilities.aspx?FacilityID=24,,N,,,8407 112th Avenue,,,,Fort St John,BC,V1J 0J5,56.256892,-120.817122,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992299&SiteResourceAgencyNum=17652606
LL-3000,Hospitals,17650682,Island Health,17690996,Tofino General Hospital,Provides community hospital services.,17690999,17651030,2507254010,http://www.viha.ca/locations/tofino_general_hospital.htm,,N,,Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.,261 Neill Street,,,,Tofino,BC,V0R 2Z0,49.151557,-125.90808,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17690996&SiteResourceAgencyNum=17651030
LL-3000,Hospitals,17650682,Island Health,17691096,St. Joseph's General Hospital,Provides community hospital services. Note that this hospital does not have an emergency department or offer any acute health-care services. Patients in need of care should proceed to the North Island Hospital in Comox.,17691098,17650868,2503392242,http://www.viha.ca/locations/st_josephs_general_hospital.htm,,N,,,2137 Comox Avenue,,,,Comox,BC,V9M 1P2,49.675587,-124.940821,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691096&SiteResourceAgencyNum=17650868
LL-3000,Hospitals,17646543,Interior Health Authority,17691126,Arrow Lakes Hospital,Provides community hospital services,17691132,17646553,2502653622,www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Arrow Lakes Hospital&svc=&ploc=,,N,,Visiting Hours: 12:00 - 20:00 daily; Emergency Services: 24/7,97 1st Avenue NE,,,,Nakusp,BC,V0G 1R0,50.238724,-117.794638,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691126&SiteResourceAgencyNum=17646553
LL-3000,Hospitals,17652139,Northern Health Authority,17992302,St. John Hospital,Provides community hospital services.,17692158,17652672,,www.northernhealth.ca/OurServices/Facilities.aspx?FacilityID=85,,N,,,3255 Hospital Road,,,,Vanderhoof,BC,V0J 3A2,54.02876,-124.008821,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992302&SiteResourceAgencyNum=17652672
LL-3000,Hospitals,17644351,Fraser Health Authority,17690738,Abbotsford Regional Hospital and Cancer Centre,Provides community hospital services.,18616209,17644367,6048514700,http://www.fraserhealth.ca/find-us/hospitals/abbotsford-regional-hospital-and-cancer-centre/abbotsford-regional-hospital-and-cancer-centre,,N,,Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.,32900 Marshall Road,,,,Abbotsford,BC,V2S 0C2,49.038152,-122.313003,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17690738&SiteResourceAgencyNum=17644367
LL-3000,Hospitals,17644351,Fraser Health Authority,17992309,Peace Arch Hospital - Al Hogg Pavilion,Provides community hospital services.,18757780,17644873,,www.fraserhealth.ca/find-us/hospitals/peace-arch-hospital,,N,,,15521 Russell Avenue,,,,White Rock,BC,V4B 2R4,49.029322,-122.792131,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992309&SiteResourceAgencyNum=17644873
LL-3000,Hospitals,17652139,Northern Health Authority,17992324,McBride and District Hospital,Provides community hospital services.,17692001,17652295,,www.northernhealth.ca/OurServices/Facilities.aspx?FacilityID=41,,N,,,1136 5th Avenue,,,,Mcbride,BC,V0J 2E0,53.300909,-120.16308,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992324&SiteResourceAgencyNum=17652295
LL-3000,Hospitals,17643939,BC Children's Hospital,17992315,BC Children's Hospital - Ambulatory Care Building,Provides community hospital services.,17954806,17644060,,www.bcchildrens.ca,,N,Interpreter services available,,4480 Oak Street,,,,Vancouver,BC,V6H 3V4,49.245709,-123.127641,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992315&SiteResourceAgencyNum=17644060
LL-3000,Hospitals,17643939,BC Children's Hospital,17992315,BC Children's Hospital - Clinical Support Building,Provides community hospital services.,17954804,17643941,,www.bcchildrens.ca,,Y,Interpreter services available,,948 28th Avenue W,,,,Vancouver,BC,V5Z 2H6,49.246354,-123.126196,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992315&SiteResourceAgencyNum=17643941
LL-3000,Hospitals,17643939,BC Children's Hospital,17992315,BC Children's Hospital,Provides community hospital services.,17954798,17643950,,www.bcchildrens.ca,,N,Interpreter services available,,4480 Oak Street,,,,Vancouver,BC,V6H 3N1,49.244569,-123.125683,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992315&SiteResourceAgencyNum=17643950
LL-3000,Hospitals,17648936,Vancouver Coastal Health,17992326,Lions Gate Hospital,Provides community hospital services.,17950503,17648961,6049883131,,,N,,"Mon 11:00 - 20:00; Tue 11:00 - 20:00; Wed 11:00 - 20:00; Thu 11:00 - 20:00; Fri 11:00 - 20:00; Visiting hours may change, call ahead for more information.",231 East 15th Street,,,,North Vancouver,BC,V7L 2L7,49.320214,-123.068318,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992326&SiteResourceAgencyNum=17648961
LL-3000,Hospitals,17652139,Northern Health Authority,17992293,Mackenzie and District Hospital and Health Centre,Provides community hospital services.,17692233,17652365,,www.northernhealth.ca/OurServices/Facilities.aspx?FacilityID=38,,N,,,45 Centennial Drive,,,,Mackenzie,BC,V0J 2C0,55.33812,-123.101288,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992293&SiteResourceAgencyNum=17652365
LL-3000,Hospitals,17654326,BC Women's Hospital & Health Centre,18119681,BC Women's Hospital and Health Centre,Provides community hospital services.,18119683,17654328,,www.bcwomens.ca,,N,Interpreter services are available,Maternity visiting hoursBefore the birth: family is welcome 10:00 - 22:00After giving birth: 12:00 - 14:00 and 18:00 - 21:00,4500 Oak Street,,,,Vancouver,BC,V6H 3N1,49.243637,-123.125393,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=18119681&SiteResourceAgencyNum=17654328
LL-3000,Hospitals,17654593,Providence Health Care,17992314,Mount Saint Joseph Hospital,Provides community hospital services.,17974918,17654602,,www.providencehealthcare.org/hospitals-residences/mount-saint-joseph-hospital,,N,,Mon 08:00 - 20:00; Tue 08:00 - 20:00; Wed 08:00 - 20:00; Thu 08:00 - 20:00; Fri 08:00 - 20:00; Sat 08:00 - 20:00; Sun 08:00 - 20:00; Hours listed are Emergency Hours. Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.,3080 Prince Edward Street,,,,Vancouver,BC,V5T 3N4,49.257699,-123.096358,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992314&SiteResourceAgencyNum=17654602
LL-3000,Hospitals,17648936,Vancouver Coastal Health,17992331,R.W. Large Memorial Hospital,Provides community hospital services.,17974814,17648966,2509572314,,,N,,Emergency open 24/7; administration is closed from 12:00-13:00. Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.,88 Waglisla Street,,,,Bella Bella,BC,V0T 1Z0,52.160187,-128.143874,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992331&SiteResourceAgencyNum=17648966
LL-3000,Hospitals,17648936,Vancouver Coastal Health,17992340,Richmond Hospital - Child Health Centre,Provides community hospital services.,17964853,17649371,,,,N,,Mon 10:00 - 20:00; Tue 10:00 - 20:00; Wed 10:00 - 20:00; Thu 10:00 - 20:00; Fri 10:00 - 20:00; Sat 10:00 - 20:00; Sun 10:00 - 20:00; Number of visitors and length of visits may be limited based on patient or unit needs.,7000 Westminster Highway,,,,Richmond,BC,V6X 1A2,49.170162,-123.147547,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992340&SiteResourceAgencyNum=17649371
LL-3000,Hospitals,17648936,Vancouver Coastal Health,17992340,Richmond Hospital,Provides community hospital services.,17964841,17648995,,,,N,,Mon 10:00 - 20:00; Tue 10:00 - 20:00; Wed 10:00 - 20:00; Thu 10:00 - 20:00; Fri 10:00 - 20:00; Sat 10:00 - 20:00; Sun 10:00 - 20:00; Number of visitors and length of visits may be limited based on patient or unit needs.,7000 Westminster Highway,,,,Richmond,BC,V6X 1A2,49.170162,-123.147547,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992340&SiteResourceAgencyNum=17648995
LL-3000,Hospitals,17643939,BC Children's Hospital,17992315,BC Children's Hospital - Mental Health Building,Provides community hospital services.,17954812,17643944,,www.bcchildrens.ca,,N,Interpreter services available,,4555 Heather Street,,,,Vancouver,BC,V6H 3N1,49.244399,-123.121183,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992315&SiteResourceAgencyNum=17643944
LL-3000,Hospitals,17652139,Northern Health Authority,17992308,University Hospital of Northern British Columbia,Provides community hospital services.,17692184,17652145,,www.northernhealth.ca/OurServices/Facilities.aspx?FacilityID=53,,N,,,1475 Edmonton Street,,,,Prince George,BC,V2M 1S2,53.911251,-122.763153,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992308&SiteResourceAgencyNum=17652145
LL-3000,Hospitals,17644351,Fraser Health Authority,17992280,Burnaby Hospital,Provides community hospital services.,17992282,17644353,6044344211,www.fraserhealth.ca/find-us/hospitals/burnaby-hospital/burnaby-hospital,,N,,Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.,3935 Kincaid Street,,,,Burnaby,BC,V5G 2X6,49.248776,-123.016837,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992280&SiteResourceAgencyNum=17644353
LL-3000,Hospitals,17648936,Vancouver Coastal Health,17992323,Sechelt Hospital,Provides community hospital services.,17957449,17648998,6048852224,,,N,,Mon 11:00 - 20:00; Tue 11:00 - 20:00; Wed 11:00 - 20:00; Thu 11:00 - 20:00; Fri 11:00 - 20:00; Sat 11:00 - 20:00; Sun 11:00 - 20:00; Number of visitors and length of visits may be limited based on patient or unit needs.,5544 Sunshine Coast Highway,,,,Sechelt,BC,V0N 3A0,49.475307,-123.749159,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992323&SiteResourceAgencyNum=17648998
LL-3000,Hospitals,17644351,Fraser Health Authority,17992312,Mission Memorial Hospital,Provides community hospital services.,17691259,17644460,6048266261,www.fraserhealth.ca/find-us/hospitals/mission-memorial-hospital/default,,N,,Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.,7324 Hurd Street,,,,Mission,BC,V2V 3H5,49.135186,-122.331733,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992312&SiteResourceAgencyNum=17644460
LL-3000,Hospitals,17646543,Interior Health Authority,17691179,Cariboo Memorial Hospital,Provides community hospital services.,17691199,17646585,2503924411,www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Cariboo Memorial Hospital&svc=&ploc=,,N,,Visiting Hours: 12:00 - 20:00 daily; Emergency Services: 24/7,517 6th Avenue N,,,,Williams Lake,BC,V2G 2G8,52.137421,-122.143656,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691179&SiteResourceAgencyNum=17646585
LL-3000,Hospitals,17650682,Island Health,17691157,Victoria General Hospital,Provides community hospital services.,17691162,17650784,2507274212,http://www.viha.ca/locations/victoria_general_hospital.htm,,N,,,1 Hospital Way,,,,Victoria,BC,V8Z 6R5,48.466504,-123.433064,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691157&SiteResourceAgencyNum=17650784
LL-3000,Hospitals,17646543,Interior Health Authority,17691150,Boundary Hospital,Provides community hospital services.,17691160,17647135,2504432100,www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Boundary Hospital&svc=&ploc=,,N,,Visiting Hours: 14:00 - 20:00 daily; Emergency Services: 24/7,7649 22nd Street,,,,Grand Forks,BC,V0H 1H2,49.030363,-118.467838,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691150&SiteResourceAgencyNum=17647135
LL-3000,Hospitals,17652139,Northern Health Authority,17992327,Fort Nelson General Hospital,Provides community hospital services.,17692019,17652353,,www.northernhealth.ca/OurServices/Facilities.aspx?FacilityID=18,,N,,,5315 Liard Street,,,,Fort Nelson,BC,V0C 1R0,58.809101,-122.703101,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992327&SiteResourceAgencyNum=17652353
LL-3000,Hospitals,17652139,Northern Health Authority,17992300,Chetwynd Hospital and Health Centre,Provides community hospital services.,17692229,17652362,,www.northernhealth.ca/OurServices/Facilities.aspx?FacilityID=13,,N,,,5500 Hospital Road,,,,Chetwynd,BC,V0C 1J0,55.695973,-121.64632,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992300&SiteResourceAgencyNum=17652362
LL-3000,Hospitals,17654593,Providence Health Care,17992345,St. Paul's Hospital - Burrard Building,Provides community hospital services.,17691931,17654607,,www.providencehealthcare.org/hospitals-residences/st-paul's-hospital,,N,,Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.,1081 Burrard Street,,,,Vancouver,BC,V6Z 1Y6,,,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992345&SiteResourceAgencyNum=17654607
LL-3000,Hospitals,17654593,Providence Health Care,17992345,St. Paul's Hospital,Provides community hospital services.,17691929,17654615,,www.providencehealthcare.org/hospitals-residences/st-paul's-hospital,,N,,Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.,1081 Burrard Street,,,,Vancouver,BC,V6Z 1Y6,,,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992345&SiteResourceAgencyNum=17654615
LL-3000,Hospitals,17646543,Interior Health Authority,17691140,Ashcroft Hospital and Community Health Care Centre,Provides community hospital services.,17691145,17646776,2504532211,www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Ashcroft Hospital and Community Health Care Centre&svc=&ploc=,,N,,For up-to-date Emergency Department hours call 250-453-2211 (option 7),700 Ash-Cache Creek Highway,,,,Ashcroft,BC,V0K 1A0,50.734772,-121.280163,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691140&SiteResourceAgencyNum=17646776
